Timestamp,Age,Occupation,Did you vote in the last election?,"(If “No,” ask this question)

Why didn’t you vote? ",Why did you vote for your candidate?  ,Which party do you belong to?,Why do you think the NPP parliamentary candidate lost in the election?,Did you know about Frederick Obeng Adom’s projects as MP before the election?,Do you think Frederick Obeng Adom solved the community’s problems?  ,Why do you think Emmanuel Drah (NDC) won?,What did the NDC do better than the NPP?  ,Which of the former MPs would you say was the best performing MP for the constituency?,Community name:,What are the biggest problems in your community? (Pick 2 or more)  ,Who addressed these issues better during the election?,Suggestions for the team that wants to win in 2028,Do you think the election results were fair and reflect the people’s choice?
12/23/2024 16:55,,Trader ,No,I don't know anything about it ,,,,,,,,,,,,,
12/23/2024 16:59,29,Food vendor,No,,,,People were not happy with the NPP government and wanted change,,,The NDC’s promises were better,,,,,,,
12/23/2024 17:00,26,Food vendor,Yes,,I support their party,NDC,He didn’t do enough for the community,"I heard, but they didn't help me","Yes, he did most of the work needed",He was more visible and approachable,They made stronger promises,Assifu Bekoe,,Bad roads,Emmanuel Drah (NDC),Provision of employment,Yes
12/23/2024 17:00,55,,Yes,,I support their party,NPP,He didn’t do enough for the community,"Yes, I knew about them","Yes, he did most of the work needed",He was more visible and approachable,They were better at reaching people,Frederick Adom,,"Bad roads, Jobs",Neither,,Dont know
12/23/2024 17:01,53,Tailor,No,His card was missing ,,Can’t tell,Can’t tell,"No, I didn't know about them","He tried, but it wasn't enough",Can’t tell,Can’t tell,Frederick Adom,,,,,Dont know
12/23/2024 17:02,62,Pensioner ,Yes,,I liked their projects or promises,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,People didn't like NPP ,Frederick Adom,,Schools and education,Frederick Obeng Adom (NPP),Everyone should vote,Yes
12/23/2024 17:04,41,Food vendor ,Yes,,They were active in the community,NDC,He didn’t do enough for the community,"I heard, but they didn't help me","No, he didn't solve major issues",The NDC’s promises were better,They made stronger promises,Amankwanor,,Health Services,Neither,Increase campaign and job opportunities ,Yes
12/23/2024 17:05,18,Student,No,,,LPG(Kofi Apkaloo),He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,,Bad roads,Emmanuel Drah (NDC),They can't win,Yes
12/23/2024 17:06,21,Factory worker ,Yes,,"I support their party, Closely related ",NPP,,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,They were better at reaching people,Frederick Adom,,Jobs,Neither,Better policy,
12/23/2024 17:08,26,Unemployed ,Yes,,I liked how they performed during their time of  office ,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Roads,boreholes, electricity ","Yes, he did most of the work needed",People were not happy with the NPP government,They did both better ,Frederick Adom,,,Frederick Obeng Adom (NPP),They must be vigilant ,No
12/23/2024 17:08,,Farmer,Yes,,"I liked their projects or promises, They were active in the community",NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues",He was more visible and approachable,They were better at reaching people,Salas Mensah,,"Help for farmers (tools, fertilizer)",Neither,,Yes
12/23/2024 17:09,45,Mason,No,I wasn’t interested,,NPP,,"No, I didn't know about them","No, he didn't solve major issues",People were not happy with the NPP government,,,,"Bad roads, Clean water",Frederick Obeng Adom (NPP),,No
12/23/2024 17:11,33,Trader,No,Sickness ,,NPP,He didn’t do enough for the community,,,,,,,Bad roads,Neither,,Dont know
12/23/2024 17:11,22,Electrician ,No,I wasn’t interested,,,His team didn’t give much support ,"I heard, but they didn't help me","No, he didn't solve major issues",People were not happy with the NPP government,They made stronger promises,Amankwanor,,"Help for farmers (tools, fertilizer), Bad roads, Jobs, Schools and education, Health Services, Clean water",Neither,Provide jobs ,
12/23/2024 17:13,,Company worker ,No,I wasn’t interested,,,,"I heard, but they didn't help me","Yes, he did most of the work needed",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Frederick Adom,,"Health Services, Clean water",Neither,,Dont know
12/23/2024 17:14,18,Student,Yes,,I support their party,NDC,He didn’t do enough for the community,"I heard, but they didn't help me","He tried, but it wasn't enough","He was more visible and approachable, People were not happy with the NPP government",They were better at reaching people,Amankwanor,,Jobs,Emmanuel Drah (NDC),No idea,
12/23/2024 17:16,36,Environmental health officer,Yes,,I voted for him because I wanted change ,None,People were not happy with the NPP government and wanted change,"Yes, I knew about them","No, he didn't solve major issues",I wanted change ,,,,"Help for farmers (tools, fertilizer), Clean water",Emmanuel Drah (NDC),So they should reduce inflation and dollar rates ,Yes
12/23/2024 17:17,49,Trader,Yes,,I support their party,NDC,Don't stay here ,"No, I didn't know about them","No, he didn't solve major issues",Don't stay here ,Don't stay here ,,,,Neither,Better project ,Dont know
12/23/2024 17:17,21,Trader,No,Busy,,NDC,Don’t know,"No, I didn't know about them","He tried, but it wasn't enough",He was capable of winning ,"They focused on key issues (farming, roads, schools)",Frederick Adom,,"Help for farmers (tools, fertilizer), Jobs, Schools and education, Clean water",Frederick Obeng Adom (NPP),They should elect better leaders ,Yes
12/23/2024 17:18,,Business man,Yes,,For the country's development ,,Hardship ,"I heard, but they didn't help me, Boreholes ","No, he didn't solve major issues","Breaking the 8 is hard, economy hardship and corruption ","They made stronger promises, They focused on key issues (farming, roads, schools)",Frederick Adom,,Clean water,Frederick Obeng Adom (NPP),Adom doesn't have any problem but next time he should come up with projects early ,Yes
12/23/2024 17:19,,Trader,Yes,,I liked their projects or promises,,People were not happy with the NPP government and wanted change,"Yes, I knew about them","He tried, but it wasn't enough",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Salas Mensah,,"Help for farmers (tools, fertilizer), Jobs",Emmanuel Drah (NDC),,Yes
12/23/2024 17:20,19,Student,Yes,,I liked their projects or promises,NPP,The NDC’s promises sounded better,"I heard, but they didn't help me","Yes, he did most of the work needed",The NDC’s promises were better,They made stronger promises,Frederick Adom,,Schools and education,Frederick Obeng Adom (NPP),Work harder,No
12/23/2024 17:21,25,Driver ,Yes,,I liked their projects or promises,Not a political fun,His team didn’t help ,"Yes, I knew about them","He tried, but it wasn't enough",People here always vote NDC,They made stronger promises,Amankwanor,,"Help for farmers (tools, fertilizer), Jobs",Neither,Factories ,No
12/23/2024 17:22,42,Trader,Yes,,"I support their party, I liked their projects or promises",NDC,People were not happy with the NPP government and wanted change,"No, I didn't know about them","He tried, but it wasn't enough",Can't tell,They were better at reaching people,,,Health Services,Neither,Continue free shs,Dont know
12/23/2024 17:23,32,Factory work,Yes,,I support their party,NDC,Community fully support NDC,"Yes, I knew about them, AstroTurf ","No, he didn't solve major issues",People here always vote NDC,They made stronger promises,Amankwanor,,Jobs,Emmanuel Drah (NDC),Not sure they will win again,Yes
12/23/2024 17:26,27,Trader ,Yes,,I didn't vote for anyone ,,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them","No, he didn't solve major issues",The NDC’s promises were better,"They focused on key issues (farming, roads, schools), ",,,Jobs,Emmanuel Drah (NDC),They will never win because they don't listen ,Yes
12/23/2024 17:27,52,Driver,Yes,,I wanted change ,NDC,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Boreholes ","No, he didn't solve major issues",We wanted change ,They made stronger promises,Assifu Bekoe,,Schools and education,Neither,Come out with better policies ,Yes
12/23/2024 17:28,23,Factory worker,Yes,,I liked their projects or promises,NDC,People were not happy with the NPP government and wanted change,"I heard, but they didn't help me","No, he didn't solve major issues",The NDC’s promises were better,"They were better at reaching people, They made stronger promises",Assifu Bekoe,,Health Services,Emmanuel Drah (NDC),They won't win again,No
12/23/2024 17:29,25,Shop assistant ,Yes,,For change ,NDC,Don't stay here,"No, I didn't know about them",,"The NDC’s promises were better, People were not happy with the NPP government",They made stronger promises,,,Clean water,Neither,Do their homework well,No
12/23/2024 17:30,30,Factory worker,Yes,,"I liked their projects or promises, They were active in the community",NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","No, I didn't know about them","No, he didn't solve major issues","He was more visible and approachable, The NDC’s promises were better","They made stronger promises, They focused on key issues (farming, roads, schools)",Amankwanor,,"Help for farmers (tools, fertilizer), Jobs",Emmanuel Drah (NDC),Keep their promises ,Yes
12/23/2024 17:31,22,Unemployed ,Yes,,I liked their projects or promises,NDC,He didn’t do enough for the community,"No, I didn't know about them","No, he didn't solve major issues",The NDC’s promises were better,"They made stronger promises, They focused on key issues (farming, roads, schools)",Salas Mensah,,"Help for farmers (tools, fertilizer), Bad roads, Jobs",Neither,They will never win again,Yes
12/23/2024 17:32,32,Factory worker ,Yes,,"I liked their projects or promises, We want gender neutral jobs",NDC,He didn’t do enough for the community,"I heard, but they didn't help me","No, he didn't solve major issues",The NDC’s promises were better,"They focused on key issues (farming, roads, schools)",Assifu Bekoe,,Jobs,Emmanuel Drah (NDC),They should continue policies ,Yes
12/23/2024 17:32,54,Trader,No,I had no transportation,,,,,,,,,,,,,
12/23/2024 17:32,45,Trader,Yes,,I support their party,NPP,People were not happy with the NPP government and wanted change,"Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,"They focused on key issues (farming, roads, schools)",Amankwanor,,Jobs,Neither,Job crea,Yes
12/23/2024 17:36,32,Hairdresser,No,I wasn’t interested,,,,"Yes, I knew about them","Yes, he did most of the work needed",People were not happy with the NPP government,,Frederick Adom,,,Frederick Obeng Adom (NPP),Be careful about people close to them,Yes
12/23/2024 17:37,25,Baker,Yes,,I voted for change ,,People were not happy with the NPP government and wanted change,"Yes, I knew about them, Electricity,boreholes,astroturf","He tried, but it wasn't enough",Change,,Frederick Adom,,Jobs,Emmanuel Drah (NDC),I don’t know ,Yes
12/23/2024 17:41,40,Food vendor,Yes,,I support their party,NDC,"People were not happy with the NPP government and wanted change, He didn’t do enough for the community","I heard, but they didn't help me","He tried, but it wasn't enough","The NDC’s promises were better, ","They focused on key issues (farming, roads, schools)",Salas Mensah,,"Schools and education, Clean water",Neither,If Mahama doesn't do what he says,Yes
